,SMILES,title,i_i_glide_lignum,r_i_docking_score
54694,O=C(C#CN[C@H]1CN(c2c[n+]([O-])ccc2[N+](=O)[O-])CC12CC2)C1CC1,enumerated_decorated_cores.csv:22951,54747,-7.02462
58827,O=[N+]([O-])c1cc[n+]([O-])cc1N1C[C@@H](NOCc2ccco2)C2(CC2)C1,enumerated_decorated_cores.csv:24687,58881,-6.85764
38370,COC(=O)C#CN[C@H]1CN(c2c[n+]([O-])ccc2[N+](=O)[O-])CC12CC2,enumerated_decorated_cores.csv:16083,38407,-6.85356
16980,[NH3+]Cc1ccc(N[C@H]2CN(c3c[n+]([O-])ccc3[N+](=O)[O-])CC23CC3)o1,enumerated_decorated_cores.csv:7137,16998,-6.81147
23219,N#C[C@H](CN[C@H]1CN(c2c[n+]([O-])ccc2[N+](=O)[O-])CC12CC2)ON,enumerated_decorated_cores.csv:9744,23241,-6.69658
271,O=[N+]([O-])c1cc[n+]([O-])cc1N1C[C@@H](N/C=C/n2cccn2)C2(CC2)C1,enumerated_decorated_cores.csv:109,272,-6.69322
32282,C[C@H](C#CCO)[NH2+][C@H]1CN(c2c[n+]([O-])ccc2[N+](=O)[O-])CC12CC2,enumerated_decorated_cores.csv:13527,32313,-6.68046
45076,C[C@@]1(N[C@H]2CN(c3c[n+]([O-])ccc3[N+](=O)[O-])CC23CC3)C[C@H]1C(N)=[NH2+],enumerated_decorated_cores.csv:18917,45119,-6.66446
41372,O=[N+]([O-])c1cc[n+]([O-])cc1N1C[C@@H](Nc2ccc[n+]([O-])c2)C2(CC2)C1,enumerated_decorated_cores.csv:17359,41411,-6.66054
18709,O=[N+]([O-])c1cc[n+]([O-])cc1N1C[C@@H](Nc2cc[n+]([O-])cc2)C2(CC2)C1,enumerated_decorated_cores.csv:7838,18727,-6.5298
57812,[NH3+]Cc1ccoc1N[C@H]1CCN(c2c[n+]([O-])ccc2[N+](=O)[O-])C1,enumerated_decorated_cores.csv:24256,57866,-7.22744
48929,O=C1NCCC(N[C@H]2CCN(c3c[n+]([O-])ccc3[N+](=O)[O-])C2)=[NH+]1,enumerated_decorated_cores.csv:20553,48976,-7.1346
20455,[NH3+]CC(C[NH3+])C[NH2+][C@H]1CCN(c2c[n+]([O-])ccc2[N+](=O)[O-])C1,enumerated_decorated_cores.csv:8600,20475,-6.96949
13747,O=[N+]([O-])c1cc[n+]([O-])cc1N1CC[C@@H](Nc2ccc[n+]([O-])c2)C1,enumerated_decorated_cores.csv:5791,13764,-6.92988
11203,O=C(C#CN[C@H]1CCN(c2c[n+]([O-])ccc2[N+](=O)[O-])C1)C1CC1,enumerated_decorated_cores.csv:4699,11219,-6.89568
13798,O=[N+]([O-])c1cc[n+]([O-])cc1N1CC[C@@H](Nc2ccn[n+]([O-])c2)C1,enumerated_decorated_cores.csv:5816,13815,-6.84245
47614,O=[N+]([O-])c1cc[n+]([O-])cc1N1CC[C@@H](NOCn2cccn2)C1,enumerated_decorated_cores.csv:19982,47660,-6.7954
2235,O=[N+]([O-])c1cc[n+]([O-])cc1N1CC[C@@H](NC#Cc2c[nH]cn2)C1,enumerated_decorated_cores.csv:934,2237,-6.79386
43390,O=[N+]([O-])c1cc[n+]([O-])cc1N1CC[C@@H](NC#Cc2ncco2)C1,enumerated_decorated_cores.csv:18210,43432,-6.7672
14538,O=[N+]([O-])c1cc[n+]([O-])cc1N1CC[C@@H](NOc2c[nH]cn2)C1,enumerated_decorated_cores.csv:6138,14555,-6.72117
35726,[NH3+]C[C@H]1CC=C[C@H]1[N@@H+]1C[C@@H](N[C@H](O)[C@H]2CCO2)[C@@H]2C[C@@H]21,enumerated_decorated_cores.csv:14984,35761,-6.31256
226,C[C@H]([NH3+])[C@H]([O-])[N@H+]1C[C@@H](Nc2ccco2)[C@@H]2C[C@@H]21,enumerated_decorated_cores.csv:89,227,-6.30924
49353,C[C@H]([NH2+][C@H]1CN(c2cccn2N)[C@H]2C[C@@H]12)C(N)=O,enumerated_decorated_cores.csv:20726,49400,-5.92649
54061,[NH3+]C[C@H]1OC[C@H]1N[C@H]1C[N@@H+]([C@]2(O)C[C@H](O)C2)[C@@H]2C[C@H]12,enumerated_decorated_cores.csv:22675,54114,-5.74242
23538,[NH3+][C@@](CO)(CF)N[C@H]1C[N@@H+]([C@H]([O-])c2cocn2)[C@@H]2C[C@H]12,enumerated_decorated_cores.csv:9867,23560,-5.68747
8872,C[NH2+]C(C)(C)C[NH2+][C@H]1CN(N2CC=CC2=O)[C@H]2C[C@@H]12,enumerated_decorated_cores.csv:3732,8883,-5.67338
26262,[NH3+]CC1(N2C[C@@H](NNC3=[NH+]C(=O)NC3)[C@@H]3C[C@@H]32)COC1,enumerated_decorated_cores.csv:10997,26288,-5.66871
3940,C[C@@](O)(C(N)=O)N1C[C@@H]([NH2+][C@@H]2[C@]3(C[NH3+])C[C@]23C)[C@@H]2C[C@@H]21,enumerated_decorated_cores.csv:1655,3942,-5.63336
31537,O=C([O-])C(F)(F)N[C@H]1C[N@@H+](N2CCOC[NH2+]2)[C@@H]2C[C@H]12,enumerated_decorated_cores.csv:13215,31568,-5.59756
8572,CNCC/C=C/N[C@H]1CN(c2ccc[n+]([O-])c2)[C@H]2C[C@@H]12,enumerated_decorated_cores.csv:3617,8582,-5.57896
14140,C[C@H](C[NH3+])[C@H]([NH3+])N[C@H]1CN([C@H]2C[C@@H](CO)[NH2+]2)CC12CC2,enumerated_decorated_cores.csv:5970,14157,-5.81398
