,SMILES,title,i_i_glide_lignum,r_i_docking_score
15957,CC(=O)C(=O)C#CN[C@H]1CN(c2c[n+]([O-])ccc2[N+](=O)[O-])CC12CC2,6622_generated_biased,15968,-7.14332
15084,O=[N+]([O-])c1cc[n+]([O-])cc1N1C[C@@H](NOCc2ccno2)C2(CC2)C1,6273_generated_biased,15094,-6.52187
1838,[NH3+]Cc1nc(N[C@H]2CN(c3c[n+]([O-])ccc3[N+](=O)[O-])CC23CC3)c[nH]1,750_generated_biased,1840,-6.51937
1655,O=C(NN[C@H]1CN(c2c[n+]([O-])ccc2[N+](=O)[O-])CC12CC2)C1=COCCO1,669_generated_biased,1657,-6.51025
14399,N/C=C(/N)C(=O)NN[C@H]1CN(c2c[n+]([O-])ccc2[N+](=O)[O-])CC12CC2,5979_generated_biased,14408,-6.49526
2931,[NH3+]C[C@@]1(O)CCC[C@H]1[NH2+][C@H]1CN(c2c[n+]([O-])ccc2[N+](=O)[O-])CC12CC2,1200_generated_biased,2934,-6.48203
22164,C[C@@](O)(C#CN[C@H]1CN(c2c[n+]([O-])ccc2[N+](=O)[O-])CC12CC2)C=O,9221_generated_biased,22179,-6.47416
9016,CNOC(=O)C#CN[C@H]1CN(c2c[n+]([O-])ccc2[N+](=O)[O-])CC12CC2,3720_generated_biased,9022,-6.4356
21317,[NH3+]CC[C@@]1(C[NH3+])C[C@H]1N[C@H]1CN(c2c[n+]([O-])ccc2[N+](=O)[O-])CC12CC2,8875_generated_biased,21332,-6.41676
16590,O=C(Cc1ccc[nH]1)NN[C@H]1CN(c2c[n+]([O-])ccc2[N+](=O)[O-])CC12CC2,6876_generated_biased,16601,-6.40248
20362,Nc1cc(N[C@H]2CCN(c3c[n+]([O-])ccc3[N+](=O)[O-])C2)c[n+]([O-])c1,8454_generated_biased,20375,-7.37398
3034,[NH3+][C@@](/C=C/c1cc[nH]c1)(CO)N[C@H]1CCN(c2c[n+]([O-])ccc2[N+](=O)[O-])C1,1248_generated_biased,3037,-6.85355
4071,O=[N+]([O-])c1cc[n+]([O-])cc1N1CC[C@@H](NO[C@H]2COc3ccccc3C2)C1,1680_generated_biased,4076,-6.78087
