"Title"	"docking score"
"nsp13-x0420-oneChain - minimized"	
"Core_1_EN300-121096_EN300-121096"	-7.185
"Core_1_EN300-37077_EN300-37077"	-6.762
"Core_1_EN300-97870_EN300-97870"	-6.733
"Core_1_EN300-12129_EN300-12129"	-6.718
"Core_1_EN300-6766359_EN300-6766359"	-6.687
"Core_1_EN300-36468_EN300-36468"	-6.658
"Core_1_EN300-31764_EN300-31764"	-6.546
"Core_1_EN300-1472354_EN300-1472354"	-6.506
"Core_1_EN300-152046_EN300-152046"	-6.431
"Core_1_EN300-17352_EN300-17352"	-6.399
"Core_1_EN300-46374751_EN300-46374751"	-6.308
"Core_1_EN300-304662_EN300-304662"	-6.300
"Core_1_EN300-88773_EN300-88773"	-6.282
"Core_1_EN300-31688_EN300-31688"	-6.280
"Core_1_EN300-05227_EN300-05227"	-6.277
"Core_1_EN300-236051_EN300-236051"	-6.253
"Core_1_EN300-633459_EN300-633459"	-6.238
"Core_1_EN300-113507_EN300-113507"	-6.237
"Core_1_EN300-13984_EN300-13984"	-6.219
"Core_1_EN300-72896_EN300-72896"	-6.215
"Core_1_EN300-41863_EN300-41863"	-6.211
"Core_1_EN300-736093_EN300-736093"	-6.199
"Core_1_EN300-26667496_EN300-26667496"	-6.195
"Core_1_EN300-26632221_EN300-26632221"	-6.194
"Core_1_EN300-125543_EN300-125543"	-6.191
"Core_1_EN300-51887_EN300-51887"	-6.186
"Core_1_EN300-748857_EN300-748857"	-6.185
"Core_1_EN300-98620_EN300-98620"	-6.183
"Core_1_EN300-6763072_EN300-6763072"	-6.172
"Core_1_EN300-28893_EN300-28893"	-6.165
"Core_1_EN300-1590105_EN300-1590105"	-6.163
"Core_1_EN300-1086703_EN300-1086703"	-6.156
"Core_1_EN300-00140_EN300-00140"	-6.143
"Core_1_EN300-14395_EN300-14395"	-6.140
"Core_1_EN300-152913_EN300-152913"	-6.131
"Core_1_EN300-1703690_EN300-1703690"	-6.126
"Core_1_EN300-7549839_EN300-7549839"	-6.107
"Core_1_EN300-7640928_EN300-7640928"	-6.094
"Core_1_EN300-12790_EN300-12790"	-6.090
"Core_1_EN300-218041_EN300-218041"	-6.089
"Core_1_EN300-1605566_EN300-1605566"	-6.087
"Core_1_EN300-15024_EN300-15024"	-6.081
"Core_1_EN300-113282_EN300-113282"	-6.080
"Core_1_EN300-69795_EN300-69795"	-6.080
"Core_1_EN300-134570_EN300-134570"	-6.077
"Core_1_EN300-34897_EN300-34897"	-6.073
"Core_1_EN300-75745_EN300-75745"	-6.073
"Core_1_EN300-7540875_EN300-7540875"	-6.068
"Core_1_EN300-131572_EN300-131572"	-6.065
"Core_1_EN300-23002434_EN300-23002434"	-6.044
"Core_1_EN300-16967_EN300-16967"	-6.035
"Core_1_EN300-1720001_EN300-1720001"	-5.994
"Core_1_EN300-6745638_EN300-6745638"	-5.972
"Core_1_EN300-1699119_EN300-1699119"	-5.968
"Core_1_EN300-27734635_EN300-27734635"	-5.966
"Core_1_EN300-98110_EN300-98110"	-5.964
"Core_1_EN300-746125_EN300-746125"	-5.962
"Core_1_EN300-39914218_EN300-39914218"	-5.960
"Core_1_EN300-110297_EN300-110297"	-5.949
"Core_1_EN300-61694_EN300-61694"	-5.947
"Core_1_EN300-34635_EN300-34635"	-5.946
"Core_1_EN300-6758811_EN300-6758811"	-5.944
"Core_1_EN300-27780119_EN300-27780119"	-5.941
"Core_1_EN300-101505_EN300-101505"	-5.935
"Core_1_EN300-16693_EN300-16693"	-5.926
"Core_1_EN300-37325183_EN300-37325183"	-5.925
"Core_1_EN300-45186396_EN300-45186396"	-5.924
"Core_1_EN300-41424_EN300-41424"	-5.918
"Core_1_EN300-624154_EN300-624154"	-5.915
"Core_1_EN300-754603_EN300-754603"	-5.912
"Core_1_EN300-113123_EN300-113123"	-5.908
"Core_1_EN300-45752251_EN300-45752251"	-5.904
"Core_1_EN300-783124_EN300-783124"	-5.900
"Core_1_EN300-2958816_EN300-2958816"	-5.897
"Core_1_EN300-111006_EN300-111006"	-5.894
"Core_1_EN300-43883_EN300-43883"	-5.892
"Core_1_EN300-7846153_EN300-7846153"	-5.885
"Core_1_EN300-1700760_EN300-1700760"	-5.876
"Core_1_EN300-23942_EN300-23942"	-5.873
"Core_1_EN300-220527_EN300-220527"	-5.873
"Core_1_EN300-124479_EN300-124479"	-5.871
"Core_1_EN300-63781_EN300-63781"	-5.864
"Core_1_EN300-105058_EN300-105058"	-5.862
"Core_1_EN300-17372_EN300-17372"	-5.857
"Core_1_EN300-135238_EN300-135238"	-5.851
"Core_1_EN300-09511_EN300-09511"	-5.840
"Core_1_EN300-145616_EN300-145616"	-5.839
"Core_1_EN300-113009_EN300-113009"	-5.837
"Core_1_EN300-7407738_EN300-7407738"	-5.835
"Core_1_EN300-35555_EN300-35555"	-5.831
"Core_1_EN300-371657_EN300-371657"	-5.830
"Core_1_EN300-33482_EN300-33482"	-5.827
"Core_1_EN300-6744029_EN300-6744029"	-5.824
"Core_1_EN300-100741_EN300-100741"	-5.823
"Core_1_EN300-7563625_EN300-7563625"	-5.823
"Core_1_EN300-37470895_EN300-37470895"	-5.819
"Core_1_EN300-1262608_EN300-1262608"	-5.819
"Core_1_EN300-101018_EN300-101018"	-5.818
"Core_1_EN300-65842_EN300-65842"	-5.814
"Core_1_EN300-43352897_EN300-43352897"	-5.812
"Core_1_EN300-147407_EN300-147407"	-5.810
"Core_1_EN300-13051_EN300-13051"	-5.801
"Core_1_EN300-6481378_EN300-6481378"	-5.788
"Core_1_EN300-177034_EN300-177034"	-5.780
"Core_1_EN300-244044_EN300-244044"	-5.778
"Core_1_EN300-37400226_EN300-37400226"	-5.777
"Core_1_EN300-71405_EN300-71405"	-5.775
"Core_1_EN300-6760451_EN300-6760451"	-5.766
"Core_1_EN300-30580_EN300-30580"	-5.766
"Core_1_EN300-96997_EN300-96997"	-5.761
"Core_1_EN300-19272_EN300-19272"	-5.754
"Core_1_EN300-18459_EN300-18459"	-5.754
"Core_1_EN300-736517_EN300-736517"	-5.746
"Core_1_EN300-25447_EN300-25447"	-5.744
"Core_1_EN300-26790_EN300-26790"	-5.742
"Core_1_EN300-59195_EN300-59195"	-5.742
"Core_1_EN300-182610_EN300-182610"	-5.741
"Core_1_EN300-7499382_EN300-7499382"	-5.741
"Core_1_EN300-91712_EN300-91712"	-5.740
"Core_1_EN300-1081114_EN300-1081114"	-5.735
"Core_1_EN300-92658_EN300-92658"	-5.734
"Core_1_EN300-219437_EN300-219437"	-5.729
"Core_1_EN300-267001_EN300-267001"	-5.725
"Core_1_EN300-64536_EN300-64536"	-5.724
"Core_1_EN300-06995_EN300-06995"	-5.717
"Core_1_EN300-116503_EN300-116503"	-5.717
"Core_1_EN300-66044_EN300-66044"	-5.714
"Core_1_EN300-2790168_EN300-2790168"	-5.711
"Core_1_EN300-307255_EN300-307255"	-5.697
"Core_1_EN300-80230_EN300-80230"	-5.692
"Core_1_EN300-322879_EN300-322879"	-5.692
"Core_1_EN300-26871972_EN300-26871972"	-5.691
"Core_1_EN300-26873_EN300-26873"	-5.681
"Core_1_EN300-196668_EN300-196668"	-5.679
"Core_1_EN300-34277_EN300-34277"	-5.677
"Core_1_EN300-255776_EN300-255776"	-5.668
"Core_1_EN300-68618_EN300-68618"	-5.668
"Core_1_EN300-79435_EN300-79435"	-5.664
"Core_1_EN300-31077_EN300-31077"	-5.656
"Core_1_EN300-120138_EN300-120138"	-5.652
"Core_1_EN300-10334_EN300-10334"	-5.650
"Core_1_EN300-82037_EN300-82037"	-5.645
"Core_1_EN300-52983_EN300-52983"	-5.639
"Core_1_EN300-43661_EN300-43661"	-5.637
"Core_1_EN300-1692969_EN300-1692969"	-5.636
"Core_1_EN300-73588_EN300-73588"	-5.633
"Core_1_EN300-94211_EN300-94211"	-5.631
"Core_1_EN300-85760_EN300-85760"	-5.629
"Core_1_EN300-6492119_EN300-6492119"	-5.623
"Core_1_EN300-207363_EN300-207363"	-5.618
"Core_1_EN300-66511_EN300-66511"	-5.618
"Core_1_EN300-19900_EN300-19900"	-5.616
"Core_1_EN300-19169_EN300-19169"	-5.616
"Core_1_EN300-144117_EN300-144117"	-5.614
"Core_1_EN300-12921_EN300-12921"	-5.612
"Core_1_EN300-7540418_EN300-7540418"	-5.612
"Core_1_EN300-28706497_EN300-28706497"	-5.607
"Core_1_EN300-325843_EN300-325843"	-5.607
"Core_1_EN300-6505097_EN300-6505097"	-5.605
"Core_1_EN300-154078_EN300-154078"	-5.604
"Core_1_EN300-08779_EN300-08779"	-5.604
"Core_1_EN300-6482029_EN300-6482029"	-5.602
