SMILES,Name
,
C#CC1CCCN1S(=O)(=O)c1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1,0_Library_A
,
C#CCC1C(=O)N(c2ccc(Br)cc2)C(c2ccc(OC)c(Br)c2)C1C(=O)O,1_Library_A
,
C#CCN(C(=O)Nc1ccc(OC(F)(F)F)cc1)c1ccc(Br)cc1,2_Library_A
,
C#CCN(c1ccc(N2C(=O)C3CC(C2=O)C2(N3)C(=O)Nc3ccc(F)cc32)c(F)c1)S(=O)(=O)c1ccc(Cl)c(C)c1,3_Library_A
,
C#CCN1C(=O)C(NC(=O)c2ccccc2)Cc2cc(F)ccc21,4_Library_A
,
C#CCN1C(=O)C(c2ccc(F)cc2)=C(c2cccc(F)c2)C1=O,5_Library_A
,
C#CCOc1c(I)cc(C2(c3ccc(O)c(C(C)(C)C)c3)C(=O)N(C)c3ccc(F)cc32)cc1I,6_Library_A
,
C#CCOc1cc(-c2cc(NC(=O)Nc3ccc(Cl)cc3)ccc2Cl)c2ccn(C)c2c1,7_Library_A
,
C#CCOc1ccc(C2CC3(Oc4ccc(OCc5ccncc5)cc42)C(=O)Nc2ccc(Cl)cc23)cc1,8_Library_A
,
C#CCOc1ccc(S(=O)(=O)N2CC(=O)Nc3ccc(F)cc32)cc1,9_Library_A
,
C#CCOc1cccc(CNC(=O)Nc2ccc(Br)cc2F)c1,10_Library_A
,
C#Cc1cc(-c2cncnc2)ccc1NC(=O)Nc1ccc(Br)cc1,11_Library_A
,
C#Cc1ccc(C2N(c3ccc(Cl)cc3)C(=O)C2(O)c2nc(C)cc(C)c2C)cc1,12_Library_A
,
C#Cc1ccc(NC(=O)Cc2ccc(Cl)cc2Cl)cc1,13_Library_A
,
C=C(C(=O)NC1Cc2ccccc2-c2ccc(OC)cc21)c1ccc(Cl)cc1,14_Library_A
,
C=C(C(=O)NCc1ccccc1)c1ccc(Br)cc1,15_Library_A
,
C=C(C(=O)Nc1ccc(Br)cn1)c1ccc(Cl)cc1,16_Library_A
,
C=C(C(=O)Nc1ccc(F)c(F)c1)c1ccc(Cl)cc1,17_Library_A
,
C=C(C(=O)Nn1ccc(=O)[nH]c1=O)c1ccc(Cl)cc1,18_Library_A
,
C=C(C)CN1CCN(C2(c3ccc(C)cc3)C(=O)Nc3ccc(Cl)cc32)CC1,19_Library_A
,
C=C(C)c1cccc(NC(=O)Oc2ccc(Cl)cc2)c1,20_Library_A
,
C=C(CC(=O)Nc1ccc(Br)cc1)C(=O)c1ccc(OC)cc1,21_Library_A
,
C=C(Oc1ccc(C(C)=O)cc1)C(=O)Nc1ccc(Cl)cc1,22_Library_A
,
C=C(c1ccc(C)cc1)C1(O)C(=O)Nc2ccc(Cl)cc21,23_Library_A
,
C=C1C(=C2C(=O)N(CC(=O)O)c3cccc(C)c32)CC(=O)N1c1ccc(F)cc1,24_Library_A
,
C=C1C(=O)C2(O)C3(C(=O)O)OC3C(OC(=O)Cc3ccc(Cl)cc3)C(O)(C(C)=O)C2(O)c2c(O)cc(OC)cc21,25_Library_A
,
C=C1C(=O)N(c2ccc(Cl)cc2)C(=O)N1CC(=O)Nc1ccc(S(=O)(=O)N2CCOCC2)cn1,26_Library_A
,
C=C1C(=O)N(c2ccc(Cl)cc2Cl)C2CCC(=O)C12Oc1ccc(C)cc1,27_Library_A
,
C=C1C(=O)NC2C1OC21CC(c2cccc(F)c2)N(c2ccc(Cl)cc2F)C1=O,28_Library_A
,
C=C1C(NC(=O)c2cc(OC)c(OC)c(OC)c2)=C(C#N)C(=O)N1c1ccc(Cl)cc1,29_Library_A
,
C=C1C(n2cc(C)c(=O)[nH]c2=O)OC(=O)N1c1ccc(Cl)cc1,30_Library_A
,
C=C1CC(OC2C(OC3OC(c4ccccc4)C4C(=O)N(c5ccc(Cl)cc5)C(=O)C34)OC(C)C(O)C2O)OC(C)C1O,31_Library_A
,
C=C1CC2(C(=O)Nc3ccc(Cl)cc32)c2ccccc21,32_Library_A
,
C=C1OC(=O)N(c2ccc(Cl)cc2)N1c1cccc(C)c1,33_Library_A
,
C=C1OC(=O)N(c2ccc(S(=O)(=O)N3CCOCC3)cc2)N(c2ccc(Cl)cc2)C1=O,34_Library_A
,
C=C1Oc2ccc(C(F)(F)F)cc2C1=NNC(=O)C(C)c1ccc(Br)cc1,35_Library_A
,
C=C1Sc2ncccc2N(CC(=O)Nc2ccc(Cl)cc2Cl)C1=O,36_Library_A
,
C=CC(=O)N1CC2C(=O)N(c3ccc(F)cc3)C(=O)C2(c2ccc(F)cc2)C1,37_Library_A
,
C=CC(=O)Nc1ccc(OCC(=O)Nc2ccc(Br)cc2)cc1,38_Library_A
,
C=CC(=O)Nc1ccc2c3cc(C(=O)Nc4ccc(F)cc4)ccc3n(-c3cc(OC)no3)c2c1,39_Library_A
,
C=CC(=O)Nc1nn(-c2ccccc2)c(C)c1C(=O)Nc1ccc(Br)cc1,40_Library_A
,
C=CC(=O)Oc1cc2c(c(C)c1OC(=O)Nc1ccc(Cl)cc1)OCO2,41_Library_A
,
C=CC(C)C(NC(=O)Nc1ccc(F)cc1)c1ccccc1O,42_Library_A
,
C=CC(C)c1ccc2c(c1)N(c1ccc(F)cc1)C(=O)CO2,43_Library_A
,
C=CC(CO)N1CC(C)C(CN(C)C(=O)Nc2ccc(Br)cc2)Oc2ccc(C#N)cc2C1=O,44_Library_A
,
C=CC1C(=O)N2C(CCCO)C3C(=O)N(c4ccc(F)cc4)C(c4ccc5c(c4)OCO5)C3(C#N)C12,45_Library_A
,
C=CC1c2ccccc2N(CCc2ccccc2)C(=O)N1c1ccc(F)cc1,46_Library_A
,
C=CCCN(C1=NC(=CN2CCNC2=O)C(=O)N1c1ccc(F)cc1)c1ccccc1,47_Library_A
,
C=CCCON=C1CCN(C(=O)Nc2c(F)c(=O)n(C)c(=O)n2C)c2ccc(F)cc21,48_Library_A
,
C=CCN(C(=O)C=Cc1cc(=O)n2nc(C)sc2n1)c1ccc(F)cc1,49_Library_A
,
C=CCN(C(=O)Nc1ccc(Cl)cc1)c1ccccc1,50_Library_A
,
C=CCN(C(=O)c1cn(C(C)C)c2ccccc12)c1ccc(Br)cc1,51_Library_A
,
C=CCN1C(=O)C(=C(O)C(=O)c2ccccc2F)c2cc(F)ccc21,52_Library_A
,
C=CCN1C(=O)C(Cc2ccccc2)CC1C(=O)Nc1ccc(F)cc1F,53_Library_A
,
C=CCN1C(=O)C(N2C(=O)C(=NOc3ccc(-c4ccccc4)cc3)c3cc(F)ccc32)c2ccccc21,54_Library_A
,
C=CCN1C(=O)C(NC(=O)Nc2ccc(C)cc2)CCCc2cc(Cl)ccc21,55_Library_A
,
C=CCN1C(=O)C(c2ccc(Br)cc2)=C(c2cccc(O)c2)C1=O,56_Library_A
,
C=CCN1C(=O)C2(C(=O)N(C)CC(c3ccc(Cl)cc3Cl)N2C)c2cc(F)ccc21,57_Library_A
,
C=CCN1C(=O)NC(=O)N(c2ccc(Br)cc2)C1(c1ccccc1)c1cccc(Br)c1,58_Library_A
,
C=CCN1C2C(=O)N(c3ccc(Br)cc3)C(=O)C2C1c1ccc(O)c(OC)c1,59_Library_A
,
C=CCN1CC(=O)N(c2ccc(F)cc2)C(c2ccccc2C(F)(F)F)C1,60_Library_A
,
C=CCN1CCC2(CC1)Cc1ccccc1N2C(=O)Cc1ccc(Cl)cc1Cl,61_Library_A
,
C=CCNC(=O)OCc1ccc(N2C(=O)C(=O)c3ccc(Cl)cc32)cc1,62_Library_A
,
C=CCNc1ccccc1C=C1C(=O)Nc2ccc(F)cc21,63_Library_A
,
C=CCNc1nc(Cl)ncc1NC(=O)Cc1ccccc1,64_Library_A
,
C=CCNc1oc2cc(OC)ccc2c1C(=O)Nc1ccc(Cl)cc1,65_Library_A
,
C=CCOC(=O)c1nc(-c2ccc(Br)cc2)sc1NC(=O)Nc1ccc(Cl)cc1Cl,66_Library_A
,
C=CCOC1C(O)C(=O)C(c2ccc(Cl)cc2)C2c3ccccc3C(Sc3ccccc3)C12,67_Library_A
,
C=CCOc1ccc(C(C)=NNC(=O)c2c(C)sc3cc(Cl)ccc23)cc1,68_Library_A
,
C=CCOc1ccc(C2c3cc(Cl)ccc3NC(=O)C2O)cc1,69_Library_A
,
C=CCOc1ccc(N2CC(F)CC2C(=O)Nc2ccc(Cl)cn2)cc1,70_Library_A
,
C=CCOc1ccccc1C=NNC(=O)Nc1ccc(Cl)nc1,71_Library_A
,
C=CCc1cc(=O)nc2c3ccccc3nc(SCC(=O)Nc3ccc(Cl)cc3)n12,72_Library_A
,
C=CCc1ccccc1OCC(=O)Nc1ccc(Br)cn1,73_Library_A
,
C=CCn1c(-c2ccccc2)c(C(C)(C)C)sc1=NC(=O)Nc1ccc(F)cc1,74_Library_A
,
C=CCn1c(=O)c(Cl)c(C(=O)Nc2cccc(OC)c2)c2ccc(F)cc21,75_Library_A
,
C=CCn1c(=O)n(C)c(=O)c2nnc(SCC(=O)Nc3ccc(F)cc3)nc21,76_Library_A
,
C=CCn1c(N)cc(OCC(=O)Nc2ccc(Br)cc2)nc1=S,77_Library_A
,
C=CCn1c(SCC(=O)Nc2ccc(Br)cc2)nc2ccccc21,78_Library_A
,
C=CCn1c(SCC(=O)Nc2ccc(Br)cc2)nc2ccccc2c1=O,79_Library_A
,
C=CCn1c(SCC(=O)Nc2ccc(Cl)cc2)nc2c(c1=O)SCC2,80_Library_A
,
C=CCn1c(SCC(=O)Nc2ccc(Cl)cc2)nc2cc3c(cc21)OCCO3,81_Library_A
,
C=CCn1c(SCC(=O)Nc2ccc(Cl)cc2)nc2ccccc2c1=O,82_Library_A
,
C=CCn1c(SCC(=O)Nc2ccc(F)cc2)c(C#N)c2ccccc21,83_Library_A
,
C=CCn1c(SCC(=O)Nc2ccc(F)cc2)nc2c(=O)n(C)c(=O)n(C)c21,84_Library_A
,
C=CCn1c(SCC(=O)Nc2ccc(F)cc2F)nc2ccccc2c1=O,85_Library_A
,
C=CCn1cc(C(=O)Nc2ccc(Cl)cc2)c(-c2ccc(Cl)cc2)n1,86_Library_A
,
C=CCn1cc(C(=O)O)c(=O)c2ccc(C(=O)Nc3ccc(F)cc3)cc21,87_Library_A
,
C=CNC(=O)N1CCCC12C(=O)N(c1ccc(Cl)cc1)c1ccccc12,88_Library_A
,
C=COc1cccc(C=CC(=O)Nc2ccc(Cl)cc2Cl)c1,89_Library_A
,
C=CS(=O)(=O)Nc1ccc(C(C)NC(=O)Nc2ccc(Cl)cc2)cc1,90_Library_A
,
C=CS(=O)(=O)Nc1ccc(F)c(-c2cccc(N3Cc4cc(F)ccc4NC3=O)n2)c1,91_Library_A
,
C=Cc1cc(C(=O)Nc2ccc(Cl)cc2)c2c(c1)C(=O)N(c1cccc(C)c1)C2=O,92_Library_A
,
C=Cc1ccc(CN2C(=O)C(C(C)C)C2C(=O)Nc2ccc(F)cc2)cc1,93_Library_A
,
C=Cc1ccc(NC(=O)N2CCc3cc(F)ccc32)cc1,94_Library_A
,
C=c1c2ccc(CN(C)Cc3ccccc3)cc2c(=C2C(=O)C(C)=CC(O)(c3ccc(F)cc3)C2=O)c2c3c(ccc12)C(=O)c1ccccc1C3=O,95_Library_A
,
CC#CC1(c2ccc(Cl)cc2Cl)NC(=O)Oc2ccc(Cl)cc21,96_Library_A
,
CC#Cc1c(C)[nH]c(SCC(=O)Nc2ccc(Br)cc2)nc1=O,97_Library_A
,
CC(=C(C#N)C(=O)Nc1ccc(Br)cc1)c1ccc(F)cc1,98_Library_A
,
CC(=C(C#N)C(=O)Nc1ccc(Cl)cc1)c1ccncc1,99_Library_A
,
CC(=C1C(=O)N(C2CCCN(C)C2)c2ccc(Cl)cc21)c1ccccc1,100_Library_A
,
CC(=C1C(=O)N(c2ccc(Br)cc2)C(=O)N1c1cccc(Cl)c1)c1c[nH]c2ccccc12,101_Library_A
,
CC(=C1SC(=O)N(c2ccc(Cl)cc2)C1=O)c1ccccc1I,102_Library_A
,
CC(=CC(=O)Nc1ccc(Cl)cc1)c1ccccc1,103_Library_A
,
CC(=CC(=O)Nc1ccc(F)cc1)SNc1ccc(Cl)cc1,104_Library_A
,
CC(=CC(=O)Nc1ccc(F)cc1C)Nc1ccc2c(c1)C(=O)NC2=O,105_Library_A
,
CC(=CC(=O)c1cn(C)c2cc(Br)ccc12)c1ccc(F)cc1,106_Library_A
,
CC(=CCOc1ccc(C=C2SC(=S)N(c3ccc(Br)cc3)C2=O)cn1)C1=Cc2ccccc2C1=O,107_Library_A
,
CC(=Cc1ccc(Cl)c(Cl)c1)C(=O)Nc1ccc(Br)cc1OC(F)(F)F,108_Library_A
,
CC(=Cc1ccc2c(c1)OCO2)C(=O)c1cn(Cc2ccccc2)c2cc(Cl)ccc12,109_Library_A
,
CC(=Cc1oncc1-c1ccccc1OC(F)(F)F)C(=O)Oc1ccc(F)cc1,110_Library_A
,
CC(=NC1=C(O)C(=O)N(c2ccc(Cl)cc2)C1=O)Nc1ccc(NC(N)=O)cc1,111_Library_A
,
CC(=NCCC(=O)Nc1ccc(Cl)cn1)c1ccc(F)cc1,112_Library_A
,
CC(=NN1C(=O)C(=NO)c2ccc(Cl)cc21)c1ccc(Br)cc1,113_Library_A
,
CC(=NNC(=N)N)C1C(=O)n2c(nc(=O)c3ccccc32)C=C1C(=O)Nc1ccc(Cl)cc1,114_Library_A
,
CC(=NNC(=O)C(=Cc1ccc(C(=O)O)cc1)c1ccc(Cl)cc1)c1ccc2c(c1)OCO2,115_Library_A
,
CC(=NNC(=O)C(=O)c1ccc(Cl)cc1)c1ccc(C)cc1,116_Library_A
,
CC(=NNC(=O)C1(c2ccc(Cl)cc2)CCOCC1)c1ccccc1Nc1ccc(F)c(Cl)c1,117_Library_A
,
CC(=NNC(=O)Cc1ccc(Cl)cc1)c1ccc(F)cc1,118_Library_A
,
CC(=NNC(=O)Cc1ccc(Cl)cc1)c1ccncc1,119_Library_A
,
CC(=NNC(=O)Nc1ccc(Br)cc1)c1ccccc1,120_Library_A
,
CC(=NNC(=O)Nc1ccc(CC(=O)Nc2ccc(Cl)cc2)cc1)c1cccs1,121_Library_A
,
CC(=NNC(=O)Nc1ccc(Cl)cc1)c1ccc(S(=O)(=O)N(C)C)cc1,122_Library_A
,
CC(=NNC(=O)Nc1ccc(Cl)cc1)c1ccncc1,123_Library_A
,
CC(=NNC(=O)c1ccc(C(=O)O)cc1)c1cc(NC(=O)Nc2ccc(Cl)cc2)ccc1C,124_Library_A
,
CC(=NNC(=O)c1cccc(S(=O)(=O)NC(=O)Nc2ccc(Cl)cc2Cl)c1)c1cc(Br)ccc1F,125_Library_A
,
CC(=NNC(=S)NCC1CCCO1)c1cccc(NC(=O)Nc2ccc(Br)cc2)n1,126_Library_A
,
CC(=NNC(N)=S)c1ccc(N2C(=O)C(=CC3=[N+]([O-])CN(c4ccc(Cl)cc4)C3=O)c3ccc(Cl)cc32)cc1,127_Library_A
,
CC(=NNC1CC(=O)N(c2ccc(F)cc2)C1=O)c1ccc(C)nc1,128_Library_A
,
CC(=NO)c1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1,129_Library_A
,
CC(=NO)c1ccc2c(c1)C(=O)C(NC(=O)Nc1ccc(Cl)cc1)=C(N1CC1)C2=O,130_Library_A
,
CC(=NO)c1cccc(C)c1NC(=O)Nc1ccc(F)cn1,131_Library_A
,
CC(=NO)c1cn2cc(CCC(=O)Nc3ccc(F)cn3)nc2n(C)c1=O,132_Library_A
,
CC(=NOC(=O)C(=O)Nc1ccc(F)cc1)c1cccc([N+](=O)[O-])c1,133_Library_A
,
CC(=NOC(=O)Cc1ccc(Cl)cc1)c1ccc(N(C)C)cc1,134_Library_A
,
CC(=NOC(=O)Nc1ccc(Br)cc1)c1ccccc1,135_Library_A
,
CC(=NOC(=O)Nc1ccc(Cl)cc1)c1ccc(-n2nc(C)cc2C)cc1,136_Library_A
,
CC(=NOC(=O)Nc1ccc(F)cc1)c1ccc(Cl)cc1O,137_Library_A
,
CC(=NOC(=O)Nc1ccc(F)cc1)c1cccnc1,138_Library_A
,
CC(=NOC(=O)Nc1ccc(I)cc1)C1CCc2cc3c(cc21)OCO3,139_Library_A
,
CC(=NOC(=O)c1ccccc1)c1ccc(OC(=O)C(C)(C)c2ccc(Br)cc2)cc1,140_Library_A
,
CC(=Nc1nc(-c2ccc(Cl)cc2)c(-c2ccccn2)s1)N1c2ccccc2NC(=O)C1c1ccc(Cl)cc1,141_Library_A
,
CC(=O)C(=CNc1ccccc1Cl)C(=O)Nc1ccc(F)cc1C(F)(F)F,142_Library_A
,
CC(=O)C1(c2ccccc2)CC(=O)Nc2ccc(F)cc21,143_Library_A
,
CC(=O)C1=C(C)NC(=O)N(c2ccc(Br)cn2)C1c1ccccc1Cl,144_Library_A
,
CC(=O)C1=C(F)C(=O)N(c2ccc(Cl)cc2)C1c1cc[n+]([O-])cc1,145_Library_A
,
CC(=O)C1=C(O)C(=O)N(c2ccc(Cl)cc2C)C1c1ccc(F)cc1,146_Library_A
,
CC(=O)C1=C2Sc3cc(Cl)ccc3N2C(=O)N(c2ccccn2)C1c1ccccc1C(F)(F)F,147_Library_A
,
CC(=O)C1C(=O)C(=O)N(c2ccc(Cl)cc2)C1c1ccc(Cl)cc1,148_Library_A
,
CC(=O)C1C(=O)C2C(=O)N(c3ccc(F)cc3)C(=O)C2C1c1ccc(F)cc1,149_Library_A
,
CC(=O)C=c1c(=Cc2ccccc2)c(=O)n(C)c2nc(N3CCC(C(=O)Nc4ccc(F)cc4)CC3)nc(N)c12,150_Library_A
,
CC(=O)CC1(C)C(=O)N(Cc2ccccc2)C(=O)N1c1ccc(F)cc1,151_Library_A
,
CC(=O)CN(C(=O)SCC(=O)Nc1ccc(Cl)cc1)c1ccccc1C,152_Library_A
,
CC(=O)N(C(=O)CCOc1ccccc1)c1ccc(I)nc1,153_Library_A
,
CC(=O)N(C(=O)c1cc(C)n(-c2ccccc2)c1C)c1ccc(F)cc1,154_Library_A
,
CC(=O)N(C)C(C(=O)N1CCCC1C(=O)Nc1ccc(OC(F)(F)F)cc1)c1ccc(F)cc1,155_Library_A
,
CC(=O)N(C)c1ccc(C=C2CN(c3ccc(F)cc3)C2=O)cc1,156_Library_A
,
CC(=O)N(C)c1ccc(N2C(=O)CC(c3ccc(F)cc3)C2=O)cc1,157_Library_A
,
CC(=O)N(C)c1ccc(N=C2C(=O)NC(=O)N(c3ccc(Cl)cc3)C2=O)cc1,158_Library_A
,
CC(=O)N(CC(=O)Nc1ccc(Cl)cc1)C(C)c1ccccc1,159_Library_A
,
CC(=O)N(CC(=O)Nc1ccc(Cl)cc1Cl)c1ccc(F)cc1,160_Library_A
,
CC(=O)N(CC(=O)Nc1ccc(F)cc1)c1ccccc1Cl,161_Library_A
,
CC(=O)N(CC(=O)Nc1ccc(F)cc1F)c1ccc(Br)cc1,162_Library_A
,
CC(=O)N(CC(=O)Nc1ccc(F)cc1F)c1ccc2c(c1)OCCO2,163_Library_A
,
CC(=O)N(CCCl)c1csc2c1C(c1ccc(Cl)cc1)N(c1ccc(Cl)cc1)C2=O,164_Library_A
,
CC(=O)N(NC(=O)Nc1ccc(Br)cc1)c1ccc(Cl)cc1,165_Library_A
,
CC(=O)N(O)CC1Oc2c(NC(=O)Nc3ccc(Cl)cc3)cccc2C1(C)C,166_Library_A
,
CC(=O)N(c1ccccc1)C(C)c1ccc(NC(=O)Nc2ccc(Cl)cc2)cc1,167_Library_A
,
