SMILES,Name
,
C=C(C)c1cc(C#N)ccc1NC(=O)c1cc(C)nc2cc(F)ccc12,0_Library_D
,
CC(=O)C(C)(Cc1ccccc1)NC(=O)C1(c2ccc(F)cc2F)CC1,1_Library_D
,
CC(=O)C(C)(NC(=O)C(C)c1ccc(Cl)cc1)c1ccccc1,2_Library_D
,
CC(=O)C(C)(NC(=O)c1c(O)cnc2cc(F)ccc12)c1ccccc1,3_Library_D
,
CC(=O)N(C)C(CNC(=O)C(F)c1ccc(F)cc1)c1ccc(F)cc1,4_Library_D
,
CC(=O)N1CCCC1(C)C(=O)OC(C(=O)OCc1ccccc1)c1ccc(F)cc1,5_Library_D
,
CC(=O)N1CCN(C(=O)NC(C)(C)C2Cc3ccccc3O2)c2ccc(F)cc2C1,6_Library_D
,
CC(=O)NC(C(=O)N1CC(c2ccccc2)C1CO)c1ccc(Cl)cc1,7_Library_D
,
CC(=O)NC(Cc1c[nH]c2ccccc12)C(=O)N1CCc2cc(F)cnc21,8_Library_D
,
CC(=O)Nc1cccc(CC(=O)N2CCN(C)c3cc(F)ccc32)c1,9_Library_D
,
CC(=O)c1cc(Br)cnc1NC(=O)C1(c2ncccc2F)CC1,10_Library_D
,
CC(=O)c1cc(Br)cnc1NC(=O)Nc1ccc(Cl)c(C(=O)O)c1,11_Library_D
,
CC(=O)c1cc(F)ccc1N(C)C(=O)Nc1ccc(C(=O)N(C)C)cc1C,12_Library_D
,
CC(=O)c1cc(F)ccc1NC(=O)C1(c2ccccc2Cl)CC(=O)C1,13_Library_D
,
CC(=O)c1cc(F)ccc1NC(=O)CC1Cc2ccccc2N1,14_Library_D
,
CC(=O)c1cc(F)ccc1NC(=O)c1ccnc2cc(C)ccc12,15_Library_D
,
CC(C(=O)N1CCC(c2cc(=O)[nH]c(=O)[nH]2)CC1)c1ccc(F)cc1,16_Library_D
,
CC(C(=O)N1CCCC1C(=O)Nc1ccc(Br)cc1)c1cnccn1,17_Library_D
,
CC(C(=O)N1CCN(c2ncccn2)C(=O)C1)c1ccc(F)cc1F,18_Library_D
,
CC(C(=O)N1CCc2cc(Br)cnc21)c1cncc(F)c1,19_Library_D
,
CC(C(=O)NC(c1ccc(F)cc1)c1nc(C2CC2)no1)c1ccc(F)cc1F,20_Library_D
,
CC(C(=O)NC1(C(=O)Nc2ccc(F)cc2)CC1)c1cncc(F)c1,21_Library_D
,
CC(C(=O)NC1CSc2ccccc2O1)c1ccc(F)cc1F,22_Library_D
,
CC(C(=O)NCC1CCCN1c1nccnc1F)c1ccc(F)cc1Cl,23_Library_D
,
CC(C(=O)NCCC(O)c1ccc(Cl)c(Cl)c1)c1ccc(F)cn1,24_Library_D
,
CC(C(=O)NCc1cccc(NC(=O)NC(C)(C)C)c1)c1ccc(F)cc1F,25_Library_D
,
CC(C(=O)NS(=O)(=O)c1cncc(C(F)F)c1)c1ccc(F)cc1F,26_Library_D
,
CC(C(=O)Nc1ccc(Cl)cc1)N1CCOC2c3ccccc3OCC21,27_Library_D
,
CC(C(=O)Nc1ccc(F)cc1)N(C)Cc1ccc2c(c1)CNCC2,28_Library_D
,
CC(C(=O)Nc1ccc(F)cc1N1CCNCC1)c1cc2ccccc2o1,29_Library_D
,
CC(C(=O)Nc1cnc(Cl)nc1N(C)C)c1ccc2c(c1)OCO2,30_Library_D
,
CC(C(N)=O)c1ccc(NC(=O)N(CCC#N)c2ccc(F)cc2)cc1,31_Library_D
,
CC(C)(C(=O)N1CCCn2c(cc3ccc(F)cc32)C1)c1ccc(F)cn1,32_Library_D
,
CC(C)(C(=O)N1CCOc2cccc(C(=O)O)c2C1)c1ccc(F)cn1,33_Library_D
,
CC(C)(C(=O)NC(Cc1ccccc1)c1ncon1)c1ccc(F)cn1,34_Library_D
,
CC(C)(C(=O)NCC1C(C(=O)O)C1c1ccccc1)c1ccc(F)cc1,35_Library_D
,
CC(C)(C(=O)NCC1CCCc2ccccc2C1)c1ccc(F)cn1,36_Library_D
,
CC(C)(C(=O)NCc1c(F)cc(C(F)(F)F)cc1F)c1ccc(F)cc1,37_Library_D
,
CC(C)(C(=O)NCc1c[nH]c(=O)[nH]c1=O)c1ccc(F)cc1,38_Library_D
,
CC(C)(C(=O)NCc1ccc2[nH]c(=O)oc2c1)c1ccc(Br)cn1,39_Library_D
,
CC(C)(C(=O)NCc1ccc2c(c1F)CCCC2)c1ccc(F)cn1,40_Library_D
,
CC(C)(C(=O)NS(=O)(=O)Cc1ccc(C#N)cc1F)c1ccc(F)cn1,41_Library_D
,
CC(C)(C(=O)Nc1cc(F)c(C#N)cc1F)c1ccc(F)cc1Cl,42_Library_D
,
CC(C)(C(=O)Nc1cc(O)cc(F)c1)c1ccc(Br)cc1,43_Library_D
,
CC(C)(C(=O)Nc1ccc2nncn2c1)c1ccc(Br)cn1,44_Library_D
,
CC(C)(C(=O)Nc1cccc(C(F)(F)CF)c1)c1ccc(F)cn1,45_Library_D
,
CC(C)(C(=O)Nc1cccc(CN2CCCCC2)c1)c1ccc(F)cn1,46_Library_D
,
CC(C)(C(=O)Nc1cccc(N2CC3CCC2C3)c1)c1ccc(F)cn1,47_Library_D
,
CC(C)(C(=O)Nc1cnc(Cl)cn1)c1ccc(O)cc1,48_Library_D
,
CC(C)(C(=O)Nc1ncc2c(n1)COCC2)c1ccc(F)cc1F,49_Library_D
,
CC(C)(C(=O)Nc1nccn2nccc12)c1ccc(Br)cn1,50_Library_D
,
CC(C)(C(=O)O)c1cccc(NC(=O)Cc2ccc(Br)cn2)c1,51_Library_D
,
CC(C)(C(=O)OCC(=O)Nc1cnc2c(c1)OCO2)c1ccc(F)cc1,52_Library_D
,
CC(C)(C(=O)OCc1cccc(C#N)n1)c1ccc(F)cc1F,53_Library_D
,
CC(C)(C)C(=O)Nc1cccc(CC(=O)Nc2ccc(F)cc2Cl)c1,54_Library_D
,
CC(C)(C)C1CN(C(=O)C2(c3ccc(F)cn3)CCC2)c2ccccc2N1,55_Library_D
,
CC(C)(C)C1Cc2cc(F)ccc2N(C(=O)Cn2cc(C(N)=O)c3ccccc32)C1,56_Library_D
,
CC(C)(C)CN(C(=O)c1[nH]nc2[nH]cnc(=O)c12)c1ccc(F)cn1,57_Library_D
,
CC(C)(C)c1cc(Br)ccc1NC(=O)COc1cnccn1,58_Library_D
,
