SMILES,Name
C#CC#Cc1ccc2ncnc(N(C)C(=O)Cc3ccc(F)cc3C)c2c1,0_Library_C
C#CC(=O)Nc1ccc2c(C(=O)Nc3ccc(F)cn3)cc(=O)[nH]c2c1,1_Library_C
C#CC(C(=O)Nc1ccc2nsnc2c1)(c1ccccc1)c1ccc(F)cc1,2_Library_C
C#CC(C)(C(=O)NC1c2cc(F)cnc2OC(C)C1OC)c1ccc(F)cc1,3_Library_C
C#CC(CC)Oc1cccnc1NC(=O)C1(c2ccc(F)cn2)CC1,4_Library_C
C#CC(O)(C(=O)Nc1cccc(-c2ccc(C(F)(F)F)cn2)c1)c1ccc(Cl)cn1,5_Library_C
C#CC1(C(N)=O)C(=O)N(c2ccc(F)cn2)C1c1ccccc1Br,6_Library_C
C#CC1NC(=O)C1(C(=O)Nc1ccc(CON=C(C)OC)c(F)c1)c1ccc(Br)cc1,7_Library_C
C#CCN(C(=O)C1(c2ccc(F)cc2Cl)CC1)c1ccc(C(C)(C)C(F)(F)F)cc1,8_Library_C
C#CCN(C(=O)Cc1ccc(Cl)cc1)c1ccc(F)cc1,9_Library_C
C#CCN(C(=O)Cc1ccc(F)cc1)c1nc(F)cc(Cl)n1,10_Library_C
C#CCN(C(=O)Cc1ccc(F)cc1)c1ncnc2ccc(I)cc12,11_Library_C
C#CCN(C(=O)Nc1ccc(Cl)cc1C)c1cccnc1,12_Library_C
C#CCN(C(=O)c1ccccc1N(C)Cc1ccncc1)c1ncc(F)cn1,13_Library_C
C#CCN(C)c1cc(NC(=O)Cc2ccc(F)cn2)ccn1,14_Library_C
C#CCN(CC(=O)Nc1ccc(F)cc1F)c1ncccc1F,15_Library_C
C#CCN1C(=O)CCN(C(=O)c2ccc(OC)nn2)c2cc(F)ccc21,16_Library_C
C#CCN1Cc2ccccc2N=C1NC(=O)Nc1ccc(F)cc1,17_Library_C
C#CCS(=O)(=O)N(CC(=O)Nc1ccc(Br)cn1)c1ccc(F)cc1,18_Library_C
C#Cc1cc(Br)cnc1NC(=O)c1ccc(-c2cnccn2)s1,19_Library_C
C#Cc1ccc(NC(=O)C(Nc2ncccc2O)c2ccc(F)cc2)c(F)c1F,20_Library_C
C#Cc1ccc2ccccc2c1C(=O)Nc1ccc(F)cn1,21_Library_C
C=C(C(=O)CCc1cccc(Cl)c1)c1ccc(F)cc1,22_Library_C
C=C(C(=O)Cc1ccccc1Cl)c1ccc(Br)cc1,23_Library_C
C=C(C(=O)N(CC)c1ccc(Cl)cn1)C(N)(c1ccncc1)c1cccc(F)c1,24_Library_C
C=C(C(=O)N1CCN(c2ccc(Cl)cc2)CC1)c1ccc(Cl)cc1,25_Library_C
C=C(C(=O)NC1C(=O)N(C)c2ncc(F)cc21)c1ccc(F)cc1,26_Library_C
C=C(C(=O)NCCc1ccc(NC)cc1)c1ccc(F)cc1,27_Library_C
C=C(C(=O)Nc1c(C)cccc1OC)c1ccc(F)cc1,28_Library_C
C=C(C(=O)Nc1ccc(Cl)cc1Cl)c1ccc(C(=O)OC)cc1,29_Library_C
C=C(C(=O)Nc1ccc(Cl)cc1Cl)c1ccnc2sc(C)cc12,30_Library_C
C=C(C(=O)Nc1ccc(OC)c(OC)c1)c1ccc(Cl)cc1,31_Library_C
C=C(C(=O)Nc1cccc(C(F)(F)F)c1)c1ccc(Cl)cn1,32_Library_C
C=C(C(=O)Nc1ccccc1OC)c1ccc(F)cc1,33_Library_C
C=C(C(=O)Nc1cnc(Cl)cn1)S(=O)(=O)c1ccc(Cl)cc1,34_Library_C
C=C(C(=O)Oc1ccc(F)cc1F)C(=CC=CC(=O)NO)c1ccccn1,35_Library_C
C=C(C)C1Cc2c(cc3[nH]c(C(=O)Nc4ccc(F)cn4)cc3c2C)O1,36_Library_C
C=C(C)CN1c2ccc(F)cc2C23CC(CC(=O)NCCO)C(C(=O)Nc4ccc(F)cc42)C13,37_Library_C
C=C(C)CNc1ncnc(NC(=O)Nc2ccc(Cl)cc2)c1C(F)(F)F,38_Library_C
C=C(C)c1cc(C)c(C(=O)OCC(=O)Nc2ccc(Br)cn2)c(=O)o1,39_Library_C
C=C(C)c1ccc(OC(=O)C(=O)NC(=O)Nc2ccc(F)cc2F)cc1,40_Library_C
C=C1C(=O)N(C(CCc2ccccc2)C(=O)N2CCc3cc(Cl)ccc32)c2c(F)cccc21,41_Library_C
C=C1C(=O)N(Cc2ccc(Br)cc2C(F)(F)F)c2cc(Br)ccc21,42_Library_C
C=C1C(=O)OC(C)C2Oc3cc(F)ccc3C(C(=O)Nc3ccc(F)cn3)C(C)C12,43_Library_C
C=C1C2C(=O)N(CC(=O)NCc3ccccc3)c3ccc(F)cc3C2(c2ccc(C)cc2)c2ccccc2N1C1CC1,44_Library_C
C=C1C2Cc3cc(Cl)ccc3C1(C(=O)N(C)c1ccnc(C(F)(F)F)c1)C2,45_Library_C
C=C1CC(C)(CC)N(CCC(=O)Nc2ccc(F)cc2F)c2ccc(F)cc21,46_Library_C
C=C1CCCC(C)=C1C(C(=O)N(C)c1cccc(C(F)(F)F)c1)c1ccc(F)cc1,47_Library_C
C=C1Cc2cc(Cl)ccc2N(C(=O)Nc2ccc(Cl)cc2)C1,48_Library_C
C=C1c2cc(F)cc(F)c2N(CCN(C)C)C(=O)C1c1ncc(F)cc1C,49_Library_C
C=C1c2cc(F)ccc2C(C(=O)N(C)Cc2ccc(F)cc2F)N1C,50_Library_C
C=C1c2cc(F)ccc2NC(=O)N1C(=O)c1ccccc1,51_Library_C
C=CC(C(=O)Nc1cccc(F)c1C#N)c1ccc(F)cc1,52_Library_C
C=CC1CC(CC(=O)N(C)C)C2(C(=O)Nc3ccc(F)cc32)C1c1ccccc1OC,53_Library_C
C=CCC(C(=O)Nc1ccc(F)cc1OC)c1cccc2c1NC(=O)C2,54_Library_C
C=CCN(C(=O)Cc1ccc(Br)cc1)c1c(C)cc(Cl)cc1Cl,55_Library_C
C=CCN(C(=O)Nc1cccc(OC)c1)c1ccc(F)cc1F,56_Library_C
C=CCN1CCC2C1CN(C(=O)c1ccnc3ccc(Cl)cc13)C2C(=O)Nc1ccc(Cl)cc1,57_Library_C
C=CCNc1ccncc1C(=O)NNC(=O)Nc1ccc(F)cc1,58_Library_C
C=CCOC(=O)C1C(=O)N(c2ccc(Cl)cn2)C1c1ccc(Br)cc1,59_Library_C
C=CCOC(=O)C1C2C(CCN1c1ccccn1)C21C(=O)Nc2ccc(F)cc21,60_Library_C
C=CCOc1cc(NC(=O)C(=O)Nc2ccc(F)cc2F)n(-c2ccccc2F)n1,61_Library_C
C=CCc1cc(OCC(=O)Nc2ccc(F)cc2)ccc1O,62_Library_C
C=CCc1cc2c(cc1C)OCCN(C(=O)C(C)c1ccc(F)cc1F)C2,63_Library_C
C=CCc1cccc(OCC2CN(c3ccc(Cl)cn3)C(=O)C2O)c1,64_Library_C
C=CCn1c(=O)n(CC(=O)Nc2ccc(F)cn2)c(=O)c2cc([N+](=O)[O-])ccc21,65_Library_C
C=CCn1c(SCC(=O)Nc2ccc(F)cn2)nc2c1c(=O)n(C)c(=O)n2C,66_Library_C
C=CCn1nc2ccccc2c1C(=O)Nc1ccc(F)cc1,67_Library_C
C=Cc1ccc(C2C(Br)C(=O)N2c2ccc(Cl)cc2)cc1,68_Library_C
C=Cc1ccc(O)c(C2NC(=O)N(c3ccc(F)cc3C)C2=O)c1,69_Library_C
C=Cn1c(SCC(=O)Nc2ccc(F)cn2)nc2ccccc2c1=O,70_Library_C
C=NN(C(=O)CNC(=O)c1cccc(C(F)(F)F)n1)c1ccc(F)cc1,71_Library_C
C=c1c2n(c3cc4c(=O)nc(-c5ccc(F)cc5)[nH]c4cc13)CCC1(C(=O)C=2)C(=O)Nc2cc(F)ccc21,72_Library_C
CC#CCC(N)(C(=O)NC(C)c1ccc(F)cn1)c1ccc(Cl)cc1,73_Library_C
CC#CCOc1ccc(S(=O)(=O)CC(=O)Nc2ccc(F)cn2)cn1,74_Library_C
CC#CCn1cc(CC(=O)Nc2ccc(F)cc2)c2cc(F)ccc21,75_Library_C
CC#CCn1ncc2c3cc(C(=O)Nc4ccc(F)cn4)ccc3n(C)c2c1=O,76_Library_C
CC#Cc1c(OC(C)=O)ccc2c1OC(=N)C(C#N)C21C(=O)Nc2ccc(F)cc21,77_Library_C
CC#Cc1ccc2c(N3CCN(C(C(=O)NC4CC4c4ccccc4)c4ccc(F)cc4)CC3)ccnc2c1,78_Library_C
CC#Cc1ccc2nc(C(Cc3ccccc3)(NC(=O)C3NCc4cc(F)ccc43)C(F)(F)F)cn2c1,79_Library_C
CC(=C(C(=O)N(C)C(c1ccc(F)cn1)(C1CCC1)C(F)(F)F)c1ccc(F)cc1)c1ccccc1,80_Library_C
CC(=C(C(=O)Nc1c(C)cccc1CC(=O)O)c1ccc(F)cc1F)c1ccc2ccccc2n1,81_Library_C
CC(=C(F)C(=O)Nc1ccc(F)cn1)c1ccccc1,82_Library_C
CC(=CC(=O)N(CCN(C)C)c1ccc(F)cc1)c1ccc(F)cc1,83_Library_C
CC(=CC(=O)N1CC(=O)C2(C1)C(=O)N(S(=O)(=O)c1c(F)cccc1F)c1cc(Cl)ccc12)c1cc(F)cc(F)c1,84_Library_C
CC(=CC(=O)Nc1ccc(Cl)cc1)c1ccc(Br)cc1,85_Library_C
CC(=CC(=O)Nc1ccc(F)cc1)NC(=O)c1cccnc1C,86_Library_C
CC(=CC(=O)Nc1ccc(F)cn1)c1ccc(F)cc1Cl,87_Library_C
CC(=CC(=O)c1ccc(F)cc1C(F)(F)C(=O)Nc1ccc(F)cn1)NO,88_Library_C
CC(=CC=CC(=O)Nc1ccc(Cl)cn1)c1ccncc1,89_Library_C
CC(=CCOc1ccc(F)cc1)C(=O)Nc1ccc(Cl)cn1,90_Library_C
CC(=Cc1cc(C)ccc1OC(=O)Nc1cccc(Cl)c1)C(=O)Nc1ccc(F)cc1F,91_Library_C
