SMILES,Name
C#CC(O)(C(=O)OCC(=O)Nc1ccc(Cl)cc1Cl)c1ccc(F)cc1,0_Library_E
C#CCN(C(=O)CC)C1C2=C(C(=O)c3ccc(Cl)cc31)N(c1ccc(Cl)cc1)C(=O)C2=O,1_Library_E
C#CCN(CC(=O)Nc1ccc(F)cc1F)c1ccc(Cl)cc1OC,2_Library_E
C#CCN1C(=O)C2(CC(=O)Nc3ccc(Br)cc32)c2ccccc21,3_Library_E
C#CCn1c(N)c(N(CC(=O)Nc2ccc(Cl)cc2)C(=O)c2cccc(F)c2)c(=O)[nH]c1=O,4_Library_E
C#CN(c1ccccc1)c1nc(C(=O)Nc2ccc(Br)cc2)nc2c(Br)cccc12,5_Library_E
C#Cc1ccc(C(=O)c2nc3ccccc3n2CC(=O)Nc2ccc(Cl)cc2)cc1,6_Library_E
C#Cc1ccc2c(c1)C1=C(c3ccc(F)cc3)C(=O)OC1C2C,7_Library_E
C=C(C(=O)N1CCc2ccccc21)c1ccc(Cl)cc1,8_Library_E
C=C(C(=O)Nc1ccc(F)cc1OC)c1ccc(OC)c(Cl)c1,9_Library_E
C=C(C(=O)Nc1ccccc1Br)c1ccc(Cl)cc1,10_Library_E
C=C(C(=O)OCC(=O)Nc1ccc(C)c(Cl)c1C)c1ccc(Cl)cc1,11_Library_E
C=C(C)Cn1c(=O)n(CC(=O)Nc2ccc(Cl)cc2Cl)c2ccccc21,12_Library_E
C=C(C)c1cc(CC(=O)Nc2ccc(F)cc2Cl)ccc1O,13_Library_E
C=C(C)c1cccc(OCC(=O)Nc2ccc(F)cc2)c1,14_Library_E
C=C(NC(=O)c1ccc(F)cc1)C(=O)Nc1ccc(Br)cc1,15_Library_E
C=C(NC(=O)c1ccccc1Cl)C(=O)Nc1ccc(Cl)cc1Cl,16_Library_E
C=C(Nc1cc(F)c(F)c(F)c1)C(=O)Nc1ccc(Br)cc1OC(F)F,17_Library_E
C=C(Nc1ccc(Br)cc1)C(=O)Nc1ccc(Br)cc1Cl,18_Library_E
C=C(Sc1nc(=O)c2ncn(C)c2[nH]1)C(=O)Nc1ccc(F)cc1,19_Library_E
C=C(c1ccc(Cl)c(F)c1)C1CCCN(C(=O)Nc2ccc(F)cc2)C1,20_Library_E
C=C1C(=O)N(CC(=O)Nc2ccc(OC(F)(F)F)cc2)C(=O)N1c1ccc(Br)cc1,21_Library_E
C=C1C(=O)N(c2cc(F)cc(F)c2)C(=O)C2C(=O)N(c3ccc(F)cc3F)C(=O)C12,22_Library_E
C=C1C(c2ccc(OC)cc2)=C(C#N)C(=O)N1c1ccc(Cl)cc1,23_Library_E
C=C1N(c2ccc(F)cc2)C(=O)NC1(Cl)c1ccc(OC)cc1,24_Library_E
C=C1c2ccccc2N2C(=O)N(c3ccc(F)cc3)C(=O)C12COC(=O)N1CCOCC1,25_Library_E
C=CC(=O)N(C)C1CCN(CCC2(c3ccc(F)cc3)C(=O)Nc3ccccc32)C1,26_Library_E
C=CC(=O)N1CCc2ccc(Oc3ccc(NC(=O)Cc4ccc(Cl)cc4)cc3F)cc21,27_Library_E
C=CC(=O)Nc1cc2c(Nc3cc(C(=O)Nc4ccc(I)cc4)ccc3Cl)ncnc2s1,28_Library_E
C=CC(C)Sc1sc2c(=O)n(CC(=O)Nc3ccc(F)cc3F)cnc2c1C#N,29_Library_E
C=CCC12NC(=O)N(c3ccc(Cl)cc3)C1=Nc1ccc(Cl)cc1C2=O,30_Library_E
